TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
429,109,53,7,6,6,13,11,128,5,9,26,4,1,1,0,0,,2,,,0,26,429
426,90,69,3,12,9,15,9,130,7,3,22,9,0,0,1,1,,4,,,1,21,426
447,110,50,6,11,11,18,5,143,13,6,24,4,2,4,1,2,,2,,,Sin dato,17,447
456,134,68,6,14,12,14,8,129,8,5,22,1,0,0,0,0,,0,,,0,19,456
423,99,58,28,10,1,16,5,133,8,5,18,6,0,1,0,0,,2,,,Sin dato,18,423
,,,,,,,,,,,,,,,,,,,,,,,
0,95,49,21,9,9,16,2,118,19,5,20,2,0,2,0,0,,2,,,0,12,399
389,104,41,11,15,8,13,8,128,10,1,18,1,1,2,0,0,,2,,,0,15,391
393,123,30,6,11,9,14,8,111,6,4,21,7,2,1,0,2,,2,,,0,19,393
Sin dato,115,34,6,8,6,12,8,139,14,4,28,5,2,0,0,2,,2,,,0,18,421
,,,,,,,,,,,,,,,,,,,,,,,
424,108,45,11,14,9,18,6,144,108,2,16,1,1,1,0,1,,3,,,0,18,424
372,103,34,6,8,7,10,9,127,9,4,20,3,2,1,0,0,,1,,,1,15,376
,,,,,,,,,,,,,,,,,,,,,,,
421,125,40,5,17,12,7,11,112,11,2,31,3,3,3,0,0,,1,,,0,21,421
Sin dato,124,41,8,14,9,14,10,16,10,5,24,2,1,1,0,1,,0,,,0,9,400
398,113,34,15,10,8,15,5,121,11,6,16,8,0,2,1,3,,1,,,0,16,398
415,105,41,9,11,7,15,10,133,5,2,24,8,1,1,Sin dato,Sin dato,,3,,,Sin dato,28,Sin dato
423,104,50,11,12,8,19,11,127,8,10,16,9,2,0,0,2,,3,,,0,14,423
419,112,51,7,7,5,12,9,106,15,9,23,8,3,4,2,1,,3,,,2,23,419
426,116,47,10,10,16,8,11,127,15,2,21,17,0,1,0,2,,2,,,0,14,426
426,105,79,6,15,5,9,6,106,9,9,21,12,0,0,0,3,,1,,,0,24,426
422,105,45,10,14,6,14,16,122,8,4,26,6,0,1,0,1,,3,,,0,17,422
466,162,66,9,6,9,21,5,104,5,4,28,6,0,1,0,3,,4,,,0,11,466
,,,,,,,,,,,,,,,,,,,,,,,
498,160,52,5,8,13,14,8,137,11,4,30,6,1,1,1,0,,5,,,0,21,498
478,153,38,2,12,11,11,11,148,7,3,31,6,0,0,0,2,,6,,,0,18,478
473,158,64,6,13,14,13,4,112,8,7,26,3,0,0,Ilegible,1,,2,,,0,19,473
222,59,56,8,5,4,7,4,48,2,13,0,2,1,0,0,2,,2,,,0,6,222
14,2,3,0,0,0,1,0,2,2,0,1,0,0,0,0,0,,0,,,0,3,14
Sin dato,15,1,0,2,0,0,0,14,1,0,0,1,1,0,0,0,,0,,,0,3,38
276,68,43,11,15,6,14,2,75,2,3,11,2,1,0,0,1,,0,,,0,13,276
297,68,50,15,11,6,9,6,78,8,2,18,2,1,0,0,1,,1,,,1,11,297
472,239,57,2,6,12,21,14,62,5,3,20,2,0,1,1,1,,0,,,0,12,475
492,226,51,3,12,8,14,13,88,12,3,15,2,1,0,0,0,,1,,,1,19,492
461,183,49,5,15,8,21,9,83,13,4,22,0,0,2,0,0,,3,,,0,19,461
Sin dato,195,44,5,5,9,19,8,73,11,6,21,5,1,2,1,3,,4,,,1,15,444
439,185,51,2,11,3,19,6,97,12,3,Sin dato,3,1,1,1,1,,1,,,Sin dato,19,439
Sin dato,234,39,3,8,5,18,12,78,18,8,20,4,1,0,0,2,,3,,,2,10,490
472,202,44,10,14,5,16,3,81,16,5,22,2,2,1,4,1,,2,,,0,16,472
513,Ilegible,39,1,11,7,15,10,101,12,5,28,4,1,2,0,1,,6,,,Sin dato,Ilegible,513
441,193,42,0,10,8,24,9,79,4,5,24,1,0,1,0,2,,7,,,0,15,441
420,174,44,4,9,7,19,7,78,11,5,14,3,2,0,0,3,,5,,,1,14,420
428,161,47,6,6,6,17,4,91,12,4,18,4,2,0,0,4,,1,,,2,20,428
414,168,52,4,8,4,17,6,76,14,4,26,9,1,1,Sin dato,Sin dato,,4,,,Sin dato,22,417
422,144,48,3,14,7,19,8,94,13,5,18,2,0,1,0,0,,4,,,0,16,422
411,191,47,4,6,4,14,12,67,12,11,17,7,1,0,0,3,,2,,,0,16,427
503,237,39,5,10,8,4,8,111,11,5,19,3,1,0,0,3,,4,,,1,19,503
Sin dato,229,Sin dato,5,7,7,14,7,125,9,3,17,5,3,1,Sin dato,1,,3,,,1,17,Sin dato
507,230,46,8,6,5,13,11,106,3,3,25,6,0,3,0,5,,4,,,0,13,507
511,240,30,3,6,9,16,7,91,5,6,33,9,0,1,0,2,,5,,,0,18,511
504,213,37,4,10,11,13,7,128,10,3,18,0,0,1,0,2,,3,,,0,11,504
,,,,,,,,,,,,,,,,,,,,,,,
481,194,40,1,8,9,13,15,104,116,4,28,3,3,1,1,0,,2,,,0,21,481
472,177,38,7,8,12,22,6,97,3,2,32,6,0,0,0,1,,3,,,1,23,472
507,191,41,6,5,5,15,10,121,18,4,29,7,0,0,0,7,,4,,,1,13,507
Sin dato,159,55,7,15,8,15,15,106,9,5,28,2,1,0,0,1,,3,,,0,17,468
,,,,,,,,,,,,,,,,,,,,,,,
504,196,35,11,4,11,21,13,110,10,7,41,2,0,0,0,2,,3,,,0,16,505
484,180,40,3,8,7,18,11,127,7,3,36,2,0,1,0,1,,4,,,1,17,484
516,205,51,5,6,9,12,10,117,13,9,30,3,1,3,0,0,,3,,,0,20,Sin dato
Sin dato,227,40,5,9,7,17,14,111,6,5,21,3,2,0,1,1,,4,,,0,13,504
503,228,44,2,7,5,13,10,121,9,4,24,3,0,2,0,1,,4,,,1,18,505
455,188,43,7,9,Ilegible,24,8,91,9,9,13,4,1,1,0,0,,4,,,1,14,455
452,165,51,2,9,9,11,11,78,17,3,34,6,1,0,2,5,,1,,,0,19,452
454,166,46,1,13,8,19,8,91,13,5,35,1,1,1,0,1,,0,,,0,14,454
447,154,44,6,15,8,15,4,89,21,5,29,8,1,1,0,5,,3,,,0,19,447
444,174,49,7,7,7,22,6,90,12,3,21,5,0,0,0,2,,1,,,0,18,444
,,,,,,,,,,,,,,,,,,,,,,,
381,116,63,3,5,12,21,6,70,20,4,14,2,0,0,0,3,,1,,,0,22,381
391,112,72,3,5,10,31,10,60,17,3,18,3,0,1,0,3,,0,,,3,21,391
400,129,49,3,6,5,19,8,98,12,1,16,6,5,0,0,2,,0,,,1,18,400
422,144,41,3,2,7,20,12,91,17,1,20,4,0,3,0,4,,1,,,0,28,422
,,,,,,,,,,,,,,,,,,,,,,,
430,132,44,3,6,8,13,12,99,17,7,30,6,4,1,0,4,,5,,,0,14,430
430,152,42,2,10,13,20,10,90,15,6,21,7,2,2,0,4,,2,,,0,12,430
445,130,43,5,6,8,27,15,101,19,5,21,6,1,1,Ilegible,2,,1,,,Sin dato,26,445
430,131,44,1,10,7,26,7,112,10,1,24,6,6,1,0,2,,2,,,0,15,430
352,94,34,2,9,7,24,4,82,14,2,26,4,1,1,Sin dato,3,,Sin dato,,,Sin dato,11,352
,,,,,,,,,,,,,,,,,,,,,,,
378,94,44,3,5,8,18,10,98,18,6,23,5,0,1,1,3,,1,,,0,24,378
,,,,,,,,,,,,,,,,,,,,,,,
384,87,37,8,12,6,27,6,102,22,3,14,3,2,4,0,5,,4,,,0,16,384
374,94,46,5,10,2,23,13,77,12,4,22,3,3,4,0,6,,4,,,Sin dato,21,374
383,98,42,7,6,10,21,14,76,18,6,17,4,0,0,1,6,,2,,,0,25,383
0,89,44,4,15,10,25,6,73,21,5,12,5,3,0,0,3,,1,,,0,24,366
365,87,51,6,7,3,17,16,87,19,2,22,6,3,2,0,3,,3,,,0,14,365
357,80,38,4,12,6,29,11,86,27,3,13,4,4,1,1,5,,1,,,0,11,357
362,70,45,5,2,9,22,9,101,24,4,18,6,4,0,0,0,,1,,,0,18,362
383,106,42,5,10,9,19,6,95,18,6,17,4,1,2,0,3,,4,,,0,17,383
460,162,41,4,7,10,8,98,98,12,6,34,7,0,1,1,3,,4,,,1,27,470
Sin dato,165,45,5,7,14,15,9,88,20,6,30,9,2,1,1,3,,2,,,0,17,465
,,,,,,,,,,,,,,,,,,,,,,,
476,157,42,5,8,8,26,14,94,18,6,32,8,4,2,0,3,,4,,,1,16,476
Sin dato,111,44,2,8,7,24,11,100,14,8,30,5,5,Ilegible,1,0,,2,,,0,20,406
398,110,38,5,11,10,18,14,109,13,13,10,5,1,2,0,1,,0,,,0,16,402
406,102,53,3,8,3,21,10,108,26,5,22,5,1,0,0,3,,2,,,0,22,409
373,119,41,4,6,6,16,11,99,9,5,16,7,0,1,1,1,,2,,,0,14,373
407,128,35,4,3,4,24,11,97,14,7,16,2,3,1,0,3,,2,,,0,27,407
429,140,27,5,6,6,17,9,117,20,5,32,7,0,1,0,3,,2,,,0,15,429
390,120,37,5,7,7,23,9,11,8,18,18,6,3,2,0,3,,0,,,0,Sin dato,390
410,139,39,3,5,4,20,16,103,10,4,18,6,1,Sin dato,Sin dato,3,,4,,,1,20,410
396,124,38,5,10,9,11,6,84,14,7,19,11,1,0,0,8,,3,,,9,21,396
416,145,40,4,5,9,24,8,91,18,1,24,6,1,1,1,4,,0,,,0,21,416
411,111,36,5,6,7,28,7,120,23,4,17,5,1,0,0,1,,2,,,0,19,411
414,121,42,6,9,11,26,11,105,20,5,8,3,2,0,0,4,,0,,,1,13,414
429,82,56,5,11,8,57,2,75,26,7,17,Sin dato,1,1,7,12,,Sin dato,,,Sin dato,31,429
432,75,51,1,10,5,73,6,91,18,6,15,4,1,0,0,11,,1,,,0,35,432
306,56,37,4,4,9,19,9,88,10,6,11,6,3,1,0,6,,1,,,0,16,306
341,74,29,2,11,11,19,5,93,11,5,21,7,1,0,0,4,,3,,,0,13,341
336,97,27,3,8,7,29,7,80,14,1,7,4,2,1,0,4,,1,,,0,27,336
278,38,50,3,4,4,53,14,34,9,3,17,1,0,2,0,4,,0,,,0,27,278
475,233,46,7,13,10,9,8,90,4,7,21,1,0,0,0,0,,3,,,2,5,475
461,212,50,2,3,11,12,8,91,10,3,28,4,0,0,0,1,,4,,,0,10,461
462,218,42,4,3,9,12,10,89,9,3,23,3,1,0,0,2,,5,,,0,13,462
466,212,46,3,5,Ilegible,15,10,83,5,3,28,4,2,1,0,0,,4,,,0,15,466
465,232,36,0,1,7,8,7,87,8,7,27,4,1,1,0,1,,6,,,0,22,466
Sin dato,96,45,6,2,15,15,93,7,10,22,2,2,1,1,0,0,,2,,,Sin dato,Sin dato,363
Sin dato,93,46,4,11,15,15,12,99,10,2,27,3,0,0,0,1,,0,,,Sin dato,11,363
516,197,64,6,8,12,23,15,121,1,2,26,5,0,0,0,2,,2,,,0,17,516
Sin dato,240,56,7,6,7,7,11,122,4,3,30,1,0,0,0,0,,2,,,0,15,531
530,206,56,3,11,8,14,10,151,10,8,25,3,0,0,0,0,,2,,,1,7,530
512,210,47,3,12,8,9,9,96,9,2,39,4,1,8,0,3,,1,,,1,26,512
517,214,53,4,8,14,11,7,117,3,4,39,5,1,2,0,0,,1,,,Sin dato,Sin dato,Sin dato
371,129,45,1,10,10,11,8,88,2,8,22,3,0,0,0,0,,1,,,1,19,371
328,111,44,2,7,14,8,7,86,7,11,17,1,0,13,0,0,,0,,,0,20,328
501,183,56,6,8,9,22,9,123,7,5,24,4,0,0,0,2,,3,,,0,21,501
521,224,55,6,4,6,14,9,115,6,4,19,3,1,2,0,2,,4,,,1,26,521
492,188,57,6,3,7,15,7,134,9,8,22,3,0,0,0,3,,1,,,0,15,492
443,128,68,5,9,7,21,9,103,11,9,21,5,0,0,3,0,,5,,,2,20,443
4,175,82,7,8,5,16,7,126,5,6,19,6,1,0,0,1,,5,,,3,7,493
491,184,69,5,9,3,11,6,17,8,11,33,2,0,1,0,2,,6,,,0,11,491
493,152,75,4,8,13,18,17,112,6,6,25,6,0,0,0,2,,3,,,1,20,493
480,168,63,4,10,8,14,12,111,9,4,19,6,1,0,0,1,,3,,,3,26,480
489,175,79,6,6,10,15,8,106,7,4,29,6,0,1,0,1,,7,,,0,16,489
287,124,35,3,3,7,4,6,66,3,2,10,1,1,1,1,2,,1,,,1,10,287
285,76,49,6,6,9,6,7,71,5,5,18,4,0,0,1,0,,2,,,0,10,285
Sin dato,142,56,4,10,8,16,11,125,1,5,33,1,2,1,0,0,,1,,,1,18,432
463,136,65,2,13,11,16,13,111,10,6,17,9,1,1,0,2,,3,,,2,20,463
368,101,60,7,2,11,10,10,98,10,4,21,Sin dato,3,1,Sin dato,3,,Sin dato,,,Sin dato,22,368
359,94,58,4,4,6,6,9,109,3,4,17,2,Sin dato,1,Sin dato,1,,2,,,Sin dato,25,358
481,171,89,1,8,8,11,7,98,6,9,20,2,0,0,0,4,,2,,,1,19,481
504,172,66,4,7,12,17,9,121,7,9,21,3,0,1,0,2,,4,,,0,19,504
1,139,46,5,8,9,6,12,54,7,3,23,1,1,1,0,3,,2,,,0,9,341
363,124,44,2,3,7,14,7,95,1,1,16,4,0,0,0,3,,2,,,0,17,363
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0
460,178,58,3,9,10,8,6,110,5,3,20,6,0,1,0,0,,0,,,1,21,461
436,153,74,3,10,7,7,13,83,5,1,36,0,0,1,1,2,,2,,,3,15,436
317,139,55,0,3,6,9,8,50,3,3,13,1,1,0,0,1,,3,,,0,14,317
314,140,54,2,8,0,10,3,46,3,3,18,1,1,2,0,2,,3,,,0,13,314
Sin dato,10,2,0,1,0,1,1,16,1,0,2,0,0,0,0,0,,1,,,0,3,39
397,122,65,8,4,7,9,7,104,8,8,24,4,1,1,0,4,,0,,,0,15,397
415,130,64,1,4,6,14,6,121,1,3,19,7,4,1,2,Sin dato,,Sin dato,,,Sin dato,22,415
430,223,61,2,3,4,12,4,58,3,5,19,3,1,0,0,1,,3,,,0,14,430
434,215,63,2,6,6,13,9,57,9,2,18,1,0,1,0,2,,5,,,1,16,434
355,97,58,5,5,1,8,5,106,5,2,23,5,3,4,0,1,,3,,,0,12,356
369,101,0,5,5,8,6,5,114,11,4,21,0,0,4,0,4,,4,,,0,13,369
300,70,57,4,7,6,5,6,98,2,3,17,1,3,Sin dato,Sin dato,2,,3,,,16,10,300
317,90,47,4,5,14,7,7,92,12,2,15,3,0,0,0,1,,0,,,7,9,308
494,240,54,3,7,6,14,10,76,6,2,24,3,1,1,1,3,,0,,,1,28,494
491,213,66,3,8,12,13,8,80,5,3,24,5,0,1,0,1,,3,,,0,28,491
,,,,,,,,,,,,,,,,,,,,,,,
345,169,41,4,6,5,10,6,61,3,4,12,1,0,0,0,1,,3,,,0,9,345
393,143,68,4,9,7,11,4,87,3,2,19,0,0,0,0,4,,1,,,0,21,393
399,141,56,1,19,4,15,8,93,4,2,20,1,1,0,0,3,,2,,,2,15,393
292,63,50,3,17,5,12,7,82,10,3,14,2,4,1,0,3,,0,,,0,12,292
294,67,52,7,21,2,9,8,71,11,5,12,2,0,1,1,0,,2,,,0,14,294
372,63,71,4,8,4,15,13,99,10,20,23,1,1,2,0,5,,1,,,1,21,370
378,106,61,11,14,4,3,9,94,17,12,12,2,1,0,1,2,,0,,,0,22,378
394,94,53,8,4,5,24,17,104,13,7,12,5,3,0,0,3,,2,,,0,22,393
424,101,66,7,15,8,17,6,125,14,5,19,3,0,1,0,0,,1,,,0,25,429
447,147,46,6,2,13,16,8,125,5,2,29,6,2,1,0,2,,3,,,2,17,447
426,145,36,5,4,17,9,9,128,11,2,22,7,0,1,0,0,,0,,,0,20,426
439,134,43,3,11,15,11,11,126,11,5,28,5,1,0,0,3,,1,,,0,22,443
456,166,41,2,9,15,14,7,112,8,7,31,5,Sin dato,Sin dato,Sin dato,1,,1,,,Sin dato,20,456
427,173,54,1,5,8,15,6,89,5,1,28,2,5,0,0,0,,3,,,0,22,427
427,172,66,2,9,6,11,13,80,3,2,23,1,1,0,0,0,,2,,,1,22,429
519,236,57,1,8,12,12,7,95,6,6,30,3,3,0,0,1,,7,,,2,18,519
2,210,47,4,4,14,10,13,97,5,6,31,4,1,1,0,2,,4,,,0,18,484
476,206,48,7,6,6,15,4,105,5,4,30,4,0,2,0,0,,5,,,0,12,476
Sin dato,217,44,4,11,12,15,11,103,2,4,26,3,0,1,0,0,,0,,,0,18,490
513,232,56,4,7,9,9,14,101,7,4,27,5,1,0,0,1,,7,,,1,11,513
484,206,70,4,7,9,8,6,113,5,0,22,3,0,0,0,0,,1,,,1,10,484
435,199,61,3,2,6,8,7,91,3,2,17,3,1,0,0,2,,2,,,0,16,438
,,,,,,,,,,,,,,,,,,,,,,,
575,322,104,3,18,4,10,11,56,2,0,9,1,1,1,0,4,,2,,,0,15,575
Sin dato,61,47,5,4,6,24,3,90,11,6,22,4,9,2,1,1,,1,,,0,28,331
Sin dato,78,45,5,6,2,16,9,88,13,5,11,3,4,1,0,4,,2,,,0,11,312
Sin dato,77,43,3,8,2,11,10,74,13,7,12,3,Sin dato,1,2,5,,1,,,Sin dato,13,290
1,91,86,6,9,5,14,11,101,9,8,10,6,0,1,0,1,,1,,,0,24,391
441,101,83,20,6,15,7,112,10,14,17,2,2,2,0,1,2,,19,,,21,1,441
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,76,47,11,10,10,12,6,86,4,6,7,5,0,0,0,1,,0,,,0,10,300
283,73,37,5,13,8,10,6,70,9,7,13,3,3,0,0,3,,0,,,0,17,282
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
348,72,55,7,5,11,9,11,102,12,1,15,1,2,1,0,5,,2,,,0,31,348
346,68,Ilegible,8,8,12,9,7,93,13,5,17,3,0,0,0,2,,2,,,1,13,346
Sin dato,66,68,8,7,6,5,11,107,11,6,13,7,0,0,0,2,,2,,,0,22,351
318,68,57,11,4,8,11,9,95,6,6,14,3,0,0,3,0,,2,,,0,16,318
,,,,,,,,,,,,,,,,,,,,,,,
Ilegible,82,40,11,10,7,11,12,92,5,6,15,7,Sin dato,Sin dato,Sin dato,Sin dato,,1,,,Sin dato,22,325
460,228,81,6,15,4,12,9,63,3,2,13,1,0,0,0,3,,2,,,0,11,460
469,227,56,8,12,6,23,10,50,18,9,15,6,0,0,0,3,,4,,,0,14,452
301,76,53,10,9,2,10,8,84,7,4,0,3,2,0,0,7,,0,,,0,20,301
318,67,47,6,5,3,12,15,93,9,7,19,5,0,0,0,2,,2,,,0,14,318
324,78,55,6,6,3,10,Ilegible,76,5,6,10,10,2,2,2,2,,4,,,0,22,323
298,78,56,5,7,12,7,13,71,9,2,10,2,2,1,0,1,,3,,,0,12,298
316,85,39,14,10,8,14,4,81,8,11,8,6,0,0,0,1,,1,,,0,14,316
335,106,48,7,6,11,16,10,70,9,2,19,4,0,0,0,1,,1,,,0,13,335
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
380,7,47,6,8,7,19,3,111,9,8,18,3,2,1,0,6,,1,,,0,18,380
331,72,37,10,8,9,11,12,97,8,8,23,6,2,1,0,0,,0,,,0,19,331
341,85,45,6,6,6,16,15,90,6,12,16,5,2,1,0,3,,0,,,6,21,341
Sin dato,86,35,13,8,6,8,11,88,12,Sin dato,Sin dato,4,3,0,0,2,,5,,,1,Sin dato,Sin dato
,,,,,,,,,,,,,,,,,,,,,,,
219,63,23,0,7,11,12,3,59,6,3,3,4,0,2,0,1,,1,,,0,8,219
Sin dato,82,22,5,5,6,13,3,68,7,8,21,1,Sin dato,Sin dato,Sin dato,1,,1,,,Sin dato,10,258
245,75,32,9,10,6,3,6,58,5,4,12,4,2,2,Sin dato,Sin dato,,Sin dato,,,Sin dato,10,245
498,224,73,5,15,19,23,4,67,8,2,8,3,1,0,3,17,,,,,2,23,Sin dato
477,174,83,7,9,26,18,11,63,14,5,19,1,0,1,14,2,,,,,3,12,477
480,200,54,8,6,33,20,7,84,9,0,15,3,1,0,0,3,,,,,0,16,480
13,7,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,,,,,0,1,13
0,6,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,,,,,0,0,15
Ilegible,101,44,3,7,11,24,1,77,17,5,5,2,0,0,0,3,,,,,1,16,348
Sin dato,112,59,7,8,12,20,7,80,15,5,8,4,2,1,0,7,,,,,Sin dato,16,390
360,101,40,8,6,15,30,5,81,14,3,9,2,1,0,0,5,,,,,0,20,360
400,101,40,7,5,18,16,7,105,15,4,12,2,2,0,0,3,,,,,0,32,400
397,103,50,3,5,15,24,7,92,11,1,10,4,0,0,0,1,,,,,0,19,397
Sin dato,112,49,10,15,10,18,3,92,15,1,10,5,0,1,0,3,,,,,0,27,417
360,76,66,6,2,13,12,6,89,15,0,11,7,0,0,0,2,,,,,0,27,360
393,106,54,6,4,13,21,7,63,21,3,9,8,1,0,0,2,,,,,Sin dato,25,377
350,89,45,9,7,14,16,2,70,9,3,16,3,2,2,0,1,,,,,0,30,350
313,78,34,0,6,13,15,6,70,11,2,17,0,1,1,0,5,,,,,1,14,313
297,80,32,5,6,14,14,6,56,9,9,7,2,0,0,0,4,,,,,2,25,297
330,90,29,10,10,16,20,1,78,12,1,10,1,Sin dato,2,Sin dato,Sin dato,,,,,Sin dato,18,Sin dato
,,,,,,,,,,,,,,,,,,,,,,,
391,114,35,8,8,13,11,10,94,12,2,13,5,2,0,0,3,,,,,1,28,391
394,115,41,8,9,19,13,3,79,22,6,14,2,1,2,0,5,,,,,0,19,394
390,115,50,9,4,14,15,2,76,15,8,16,5,1,0,0,3,,,,,1,21,390
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,Sin dato,Sin dato
526,258,63,4,5,10,18,4,111,7,2,14,1,0,0,0,0,,,,,0,15,526
524,256,77,6,3,12,22,4,80,4,2,17,4,0,1,0,1,,,,,0,18,524
525,260,84,5,9,21,24,4,62,4,1,17,1,1,0,0,2,,,,,1,14,525
497,249,76,7,5,13,16,2,73,5,2,18,5,0,0,0,3,,,,,1,14,500
537,243,71,8,7,19,16,6,92,7,5,20,0,2,0,0,5,,,,,0,23,537
515,272,76,9,3,14,14,8,61,10,1,14,1,0,1,0,2,,,,,0,16,515
506,227,69,6,5,18,16,6,90,12,3,19,7,Sin dato,Sin dato,Sin dato,1,,,,,Sin dato,15,507
546,281,81,7,5,17,16,6,80,3,3,13,1,2,0,0,2,,,,,0,15,546
520,234,73,6,7,19,15,5,100,1,1,27,2,Sin dato,Sin dato,Sin dato,3,,,,,1,12,520
492,238,69,11,9,13,20,6,75,9,2,12,1,1,1,0,1,,,,,0,13,492
512,261,72,4,7,15,25,2,71,5,2,12,3,0,2,0,1,,,,,0,22,512
515,241,64,7,5,22,20,3,99,7,2,11,3,0,0,0,4,,,,,0,22,515
,,,,,,,,,,,,,,,,,,,,,,,
12,6,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,,,,,0,1,12
496,248,73,4,2,11,20,3,74,17,5,9,3,0,1,0,2,,,,,1,13,496
471,230,48,6,7,11,19,6,88,8,3,8,1,0,0,0,4,,,,,0,20,471
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,,,,Sin dato,Sin dato,Sin dato
471,228,59,5,4,9,14,3,87,8,3,24,1,1,0,0,3,,,,,1,8,471
453,210,47,7,5,13,25,2,80,11,4,14,6,0,0,0,2,,,,,1,20,453
505,215,78,6,2,14,17,3,81,15,3,12,6,4,1,0,7,,,,,0,21,505
3,189,105,7,3,14,33,12,70,16,1,16,2,0,1,0,2,,,,,0,16,498
4,200,109,3,4,18,2,4,66,10,3,11,4,0,1,0,2,,,,,0,13,500
463,166,87,10,3,21,25,4,75,14,4,15,4,1,0,0,6,,,,,0,15,463
437,194,55,2,3,8,22,5,80,18,7,11,4,1,1,0,7,,,,,0,12,437
Sin dato,226,49,4,4,13,33,5,80,16,3,13,1,2,0,0,3,,,,,0,18,498
517,242,77,8,3,16,17,2,86,2,4,20,2,1,0,0,4,,,,,0,18,517
512,239,74,13,19,15,27,2,69,8,4,17,1,0,0,0,2,,,,,0,26,524
Sin dato,233,95,11,10,11,19,7,74,3,4,20,3,0,0,0,4,,,,,0,29,536
468,281,72,3,4,16,17,5,43,3,9,5,1,0,0,0,0,,,,,0,9,468
Sin dato,250,67,6,8,15,11,4,56,1,1,18,0,0,0,0,0,,,,,0,11,455
Sin dato,102,58,11,5,0,25,5,33,8,2,2,0,0,0,2,8,,,,,Sin dato,12,280
0,117,75,7,15,0,13,9,46,11,4,3,10,0,0,1,11,,,,,0,26,357
Sin dato,103,83,11,5,6,19,3,26,14,1,7,5,1,1,5,6,,,,,0,25,328
342,118,91,8,7,6,20,9,25,7,2,4,2,1,1,0,12,,,,,0,22,342
Sin dato,101,125,2,4,8,24,1,34,16,5,6,1,Sin dato,1,Sin dato,20,,,,,23,23,Sin dato
251,71,62,3,14,10,12,5,27,7,1,4,3,1,1,0,0,,,,,0,11,254
255,91,73,8,8,14,6,11,6,21,4,1,7,4,1,0,5,,,,,0,6,255
452,244,84,1,3,7,20,4,33,17,1,2,1,0,1,0,7,,,,,0,18,452
422,253,55,3,1,8,18,2,33,15,1,2,3,Sin dato,1,Sin dato,3,,,,,Sin dato,14,422
Sin dato,204,76,9,7,5,28,4,9,16,3,3,3,0,0,2,11,,,,,Sin dato,25,503
521,207,68,9,5,1,18,9,102,20,1,8,4,1,Sin dato,Sin dato,10,,,,,Sin dato,34,521
303,86,83,2,4,4,18,5,23,7,10,3,2,1,2,1,9,,,,,0,25,309
338,93,70,2,5,13,33,6,45,11,4,7,3,0,0,1,8,,,,,0,20,341
300,109,59,3,4,9,15,0,34,6,1,1,5,1,1,2,8,,,,,0,23,300
436,146,71,8,2,9,24,10,80,21,2,7,2,1,Sin dato,Sin dato,12,,,,,Sin dato,29,436
441,44,Sin dato,4,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Ilegible,14,Sin dato,Sin dato,4,Sin dato,Sin dato,,,,,Sin dato,21,140
287,71,34,9,5,5,34,4,69,10,0,7,3,4,1,1,8,,,,,2,16,287
219,70,23,7,3,4,20,4,61,10,6,1,1,0,1,0,2,,,,,1,3,219
225,61,26,3,2,6,11,4,70,4,6,7,1,0,1,0,3,,,,,0,15,225
347,90,37,13,4,13,15,8,81,10,8,26,7,2,2,0,2,,,,,0,15,348
347,81,45,9,5,11,21,5,95,14,9,24,5,0,1,5,1,,,,,0,8,347
Sin dato,77,37,2,1,11,16,5,98,15,1,13,5,3,1,Sin dato,1,,,,,Sin dato,20,323
,,,,,,,,,,,,,,,,,,,,,,,
287,73,58,11,1,5,21,3,57,11,2,17,3,2,4,1,1,,,,,0,17,303
342,85,49,7,6,9,20,4,91,20,4,14,Sin dato,1,Sin dato,1,Sin dato,,,,,12,19,342
358,157,44,4,5,8,12,4,70,7,4,24,0,0,0,0,1,,,,,0,13,358
369,161,37,7,8,11,19,1,69,4,4,17,1,1,0,0,0,,,,,1,12,369
